title,clean title,JNJ Classification (manual)
greenlight-xps-for-treating-benign-prostatic-hyperplasia-pdf-64372237176517.pdf,greenlight xps for treating benign prostatic hyperplasia,Treatment Option
heartflow-ffrct-for-estimating-fractional-flow-reserve-from-coronary-ct-angiography-pdf-64371991952581.pdf,heartflow ffrct for estimating fractional flow reserve from coronary ct angiography,Treatment Option
humigard-for-preventing-inadvertent-perioperative-hypothermia-pdf-64371990272965.pdf,humigard for preventing inadvertent perioperative hypothermia,Not Supporting Routine Use
ifuse-for-treating-chronic-sacroiliac-joint-pain-pdf-64372003709893.pdf,ifuse for treating chronic sacroiliac joint pain,Treatment Option
kardiamobile-for-detecting-atrial-fibrillation-pdf-64372176710341.pdf,kardiamobile for detecting atrial fibrillation,Treatment Option
leukomed-sorbact-for-preventing-surgical-site-infection-pdf-64372117923781.pdf,leukomed sorbact for preventing surgical site infection,Treatment Option
magtrace-and-sentimag-system-for-locating-sentinel-lymph-nodes-for-breast-cancer-pdf-64372233817285.pdf,magtrace and sentimag system for locating sentinel lymph nodes for breast cancer,Treatment Option
mega-soft-patient-return-electrode-for-use-during-monopolar-electrosurgery-pdf-64371869340613.pdf,mega soft patient return electrode for use during monopolar electrosurgery,Treatment Option
memokath-051-ureter-stent-for-ureteric-obstruction-pdf-64372238856133.pdf,memokath 051 ureter stent for ureteric obstruction,Treatment Option
mepilex-border-heel-and-sacrum-dressings-for-preventing-pressure-ulcers-pdf-64372049059525.pdf,mepilex border heel and sacrum dressings for preventing pressure ulcers,Treatment Option
miraq-for-assessing-graft-flow-during-coronary-artery-bypass-graft-surgery-pdf-1788119148229.pdf,miraq for assessing graft flow during coronary artery bypass graft surgery,Routine Use
moorldi2bi-a-laser-doppler-blood-flow-imager-for-burn-wound-assessment-pdf-1788109070533.pdf,moorldi2bi a laser doppler blood flow imager for burn wound assessment,Treatment Option
mycopd-for-managing-chronic-obstructive-pulmonary-disease-pdf-64372183428805.pdf,mycopd for managing chronic obstructive pulmonary disease,Not Supporting Routine Use
neuropad-for-detecting-preclinical-diabetic-peripheral-neuropathy-pdf-64372002030277.pdf,neuropad for detecting preclinical diabetic peripheral neuropathy,Not Supporting Routine Use
optilume-for-treating-recurrent-bulbar-urethral-strictures-pdf-64372235496901.pdf,optilume for treating recurrent bulbar urethral strictures,Treatment Option
parafricta-bootees-and-undergarments-to-reduce-skin-breakdown-in-people-with-or-at-risk-of-pressure-ulcers-pdf-64371928127173.pdf,parafricta bootees and undergarments to reduce skin breakdown in people with or at risk of pressure ulcers,Not Supporting Routine Use
peristeen-plus-transanal-irrigation-system-for-managing-bowel-dysfunction-pdf-64371998671045.pdf,peristeen plus transanal irrigation system for managing bowel dysfunction,Routine Use
peritx-peritoneal-catheter-drainage-system-for-vacuumassisted-drainage-of-treatmentresistant-recurrent-malignant-ascites-pdf-1788120827845.pdf,peritx peritoneal catheter drainage system for vacuumassisted drainage of treatmentresistant recurrent malignant ascites,Treatment Option
pico-negative-pressure-wound-dressings-for-closed-surgical-incisions-pdf-64372054098373.pdf,pico negative pressure wound dressings for closed surgical incisions,Treatment Option
pipeline-flex-embolisation-device-with-shield-technology-for-the-treatment-of-complex-intracranial-aneurysms-pdf-64371867660997.pdf,pipeline flex embolisation device with shield technology for the treatment of complex intracranial aneurysms,Not Supporting Routine Use
plus-sutures-for-preventing-surgical-site-infection-pdf-64372124642245.pdf,plus sutures for preventing surgical site infection,Routine Use
pneux-to-prevent-ventilatorassociated-pneumonia-pdf-64372062496453.pdf,pneux to prevent ventilatorassociated pneumonia,Not Supporting Routine Use
prontosan-for-treating-acute-and-chronic-wounds-pdf-64372181749189.pdf,prontosan for treating acute and chronic wounds,Not Supporting Routine Use
rezum-for-treating-lower-urinary-tract-symptoms-secondary-to-benign-prostatic-hyperplasia-pdf-64372064176069.pdf,rezum for treating lower urinary tract symptoms secondary to benign prostatic hyperplasia,Treatment Option
securacath-for-securing-percutaneous-catheters-pdf-64371995311813.pdf,securacath for securing percutaneous catheters,Routine Use
sedaconda-acds-for-sedation-with-volatile-anaesthetics-in-intensive-care-pdf-64372178389957.pdf,sedaconda acds for sedation with volatile anaesthetics in intensive care,Treatment Option
sem-scanner-200-for-preventing-pressure-ulcers-pdf-64372111205317.pdf,sem scanner 200 for preventing pressure ulcers,Not Supporting Routine Use
senza-spinal-cord-stimulation-system-for-delivering-hf10-therapy-to-treat-chronic-neuropathic-pain-pdf-64372050739141.pdf,senza spinal cord stimulation system for delivering hf10 therapy to treat chronic neuropathic pain,Treatment Option
sleepio-to-treat-insomnia-and-insomnia-symptoms-pdf-64372230458053.pdf,sleepio to treat insomnia and insomnia symptoms,Treatment Option
spectra-optia-for-automatic-red-blood-cell-exchange-in-people-with-sickle-cell-disease-pdf-64371941564101.pdf,spectra optia for automatic red blood cell exchange in people with sickle cell disease,Treatment Option
synergo-for-nonmuscleinvasive-bladder-cancer-pdf-64372171671493.pdf,synergo for nonmuscleinvasive bladder cancer,Not Supporting Routine Use
tegaderm-chg-securement-dressing-for-vascular-access-sites-in-critically-ill-adults-pdf-64371936525253.pdf,tegaderm chg securement dressing for vascular access sites in critically ill adults,Treatment Option
the-debrisoft-monofilament-debridement-pad-for-use-in-acute-or-chronic-wounds-pdf-64371879418309.pdf,the debrisoft monofilament debridement pad for use in acute or chronic wounds,Treatment Option
the-geko-device-for-reducing-the-risk-of-venous-thromboembolism-pdf-64371882777541.pdf,the geko device for reducing the risk of venous thromboembolism,Treatment Option
the-mist-therapy-system-for-the-promotion-of-wound-healing-pdf-1788114109381.pdf,the mist therapy system for the promotion of wound healing,Not Supporting Routine Use
the-plasma-system-for-transurethral-resection-and-haemostasis-of-the-prostate-pdf-64372114564549.pdf,the plasma system for transurethral resection and haemostasis of the prostate,Treatment Option
the-recell-sprayon-skin-system-for-treating-skin-loss-scarring-and-depigmentation-after-burn-injury-pdf-64371929806789.pdf,the recell sprayon skin system for treating skin loss scarring and depigmentation after burn injury,Not Supporting Routine Use
the-sherlock3cg-tip-confirmation-system-for-placement-of-peripherally-inserted-central-catheters-pdf-64371934845637.pdf,the sherlock3cg tip confirmation system for placement of peripherally inserted central catheters,Treatment Option
the-vac-veraflo-therapy-system-for-acute-infected-or-chronic-wounds-that-are-failing-to-heal-pdf-64372116244165.pdf,the vac veraflo therapy system for acute infected or chronic wounds that are failing to heal,Not Supporting Routine Use
thopaz-portable-digital-system-for-managing-chest-drains-pdf-64372000350661.pdf,thopaz portable digital system for managing chest drains,Treatment Option
urgostart-for-treating-diabetic-foot-ulcers-and-leg-ulcers-pdf-64372052418757.pdf,urgostart for treating diabetic foot ulcers and leg ulcers,Not Supporting Routine Use
urolift-for-treating-lower-urinary-tract-symptoms-of-benign-prostatic-hyperplasia-pdf-64372122962629.pdf,urolift for treating lower urinary tract symptoms of benign prostatic hyperplasia,Treatment Option
uroshield-for-preventing-catheterassociated-urinary-tract-infections-pdf-64372185108421.pdf,uroshield for preventing catheterassociated urinary tract infections,Not Supporting Routine Use
vibratip-for-testing-vibration-perception-to-detect-diabetic-peripheral-neuropathy-pdf-64371931486405.pdf,vibratip for testing vibration perception to detect diabetic peripheral neuropathy,Not Supporting Routine Use
virtual-touch-quantification-to-diagnose-and-monitor-liver-fibrosis-in-chronic-hepatitis-b-and-c-pdf-64371939884485.pdf,virtual touch quantification to diagnose and monitor liver fibrosis in chronic hepatitis b and c,Treatment Option
xpress-multi-sinus-dilation-system-for-treating-chronic-sinusitis-pdf-64371988593349.pdf,xpress multi sinus dilation system for treating chronic sinusitis,Treatment Option
zio-xt-for-detecting-cardiac-arrhythmias-pdf-64372112884933.pdf,zio xt for detecting cardiac arrhythmias,Treatment Option
title,,
3c-patch-for-treating-diabetic-foot-ulcers-pdf-64372180069573.pdf,,
alphastim-aid-for-anxiety-disorders-pdf-64372119603397.pdf,,
ambu-ascope4-broncho-for-use-in-unexpected-difficult-airways-pdf-64371874379461.pdf,,
ambulight-pdt-for-the-treatment-of-nonmelanoma-skin-cancer-pdf-1788115790293.pdf,,
aposhealth-for-knee-osteoarthritis-pdf-64372240535749.pdf,,
axonics-sacral-neuromodulation-system-for-treating-refractory-overactive-bladder-pdf-64372109525701.pdf,,
clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,,
curos-for-preventing-infections-when-using-needleless-connectors-pdf-64372055777989.pdf,,
danis-stent-for-acute-oesophageal-variceal-bleeding-pdf-64372121283013.pdf,,
dyevert-systems-for-reducing-the-risk-of-acute-kidney-injury-in-coronary-and-peripheral-angiography-pdf-64372169991877.pdf,,
endocuff-vision-for-assisting-visualisation-during-colonoscopy-pdf-64372057457605.pdf,,
endosponge-for-treating-low-rectal-anastomotic-leak-pdf-64372175030725.pdf,,
enduralife-powered-crtd-devices-for-treating-heart-failure-pdf-64371993632197.pdf,,
episcissors60-for-mediolateral-episiotomy-pdf-64372060816837.pdf,,
evita-open-plus-for-treating-complex-aneurysms-and-dissections-of-the-thoracic-aorta-pdf-64371877738693.pdf,,
exogen-ultrasound-bone-healing-system-for-long-bone-fractures-with-nonunion-or-delayed-healing-pdf-64371871020229.pdf,,
faecal-microbiota-transplant-for-recurrent-clostridioides-difficile-infection-pdf-64372232137669.pdf,,
gammacore-for-cluster-headache-pdf-64372059137221.pdf,,
greenlight-xps-for-treating-benign-prostatic-hyperplasia-pdf-64372237176517.pdf,,
heartflow-ffrct-for-estimating-fractional-flow-reserve-from-coronary-ct-angiography-pdf-64371991952581.pdf,,
humigard-for-preventing-inadvertent-perioperative-hypothermia-pdf-64371990272965.pdf,,
ifuse-for-treating-chronic-sacroiliac-joint-pain-pdf-64372003709893.pdf,,
kardiamobile-for-detecting-atrial-fibrillation-pdf-64372176710341.pdf,,
leukomed-sorbact-for-preventing-surgical-site-infection-pdf-64372117923781.pdf,,
magtrace-and-sentimag-system-for-locating-sentinel-lymph-nodes-for-breast-cancer-pdf-64372233817285.pdf,,
mega-soft-patient-return-electrode-for-use-during-monopolar-electrosurgery-pdf-64371869340613.pdf,,
memokath-051-ureter-stent-for-ureteric-obstruction-pdf-64372238856133.pdf,,
mepilex-border-heel-and-sacrum-dressings-for-preventing-pressure-ulcers-pdf-64372049059525.pdf,,
miraq-for-assessing-graft-flow-during-coronary-artery-bypass-graft-surgery-pdf-1788119148229.pdf,,
moorldi2bi-a-laser-doppler-blood-flow-imager-for-burn-wound-assessment-pdf-1788109070533.pdf,,
mycopd-for-managing-chronic-obstructive-pulmonary-disease-pdf-64372183428805.pdf,,
neuropad-for-detecting-preclinical-diabetic-peripheral-neuropathy-pdf-64372002030277.pdf,,
optilume-for-treating-recurrent-bulbar-urethral-strictures-pdf-64372235496901.pdf,,
parafricta-bootees-and-undergarments-to-reduce-skin-breakdown-in-people-with-or-at-risk-of-pressure-ulcers-pdf-64371928127173.pdf,,
peristeen-plus-transanal-irrigation-system-for-managing-bowel-dysfunction-pdf-64371998671045.pdf,,
peritx-peritoneal-catheter-drainage-system-for-vacuumassisted-drainage-of-treatmentresistant-recurrent-malignant-ascites-pdf-1788120827845.pdf,,
pico-negative-pressure-wound-dressings-for-closed-surgical-incisions-pdf-64372054098373.pdf,,
pipeline-flex-embolisation-device-with-shield-technology-for-the-treatment-of-complex-intracranial-aneurysms-pdf-64371867660997.pdf,,
plus-sutures-for-preventing-surgical-site-infection-pdf-64372124642245.pdf,,
pneux-to-prevent-ventilatorassociated-pneumonia-pdf-64372062496453.pdf,,
prontosan-for-treating-acute-and-chronic-wounds-pdf-64372181749189.pdf,,
rezum-for-treating-lower-urinary-tract-symptoms-secondary-to-benign-prostatic-hyperplasia-pdf-64372064176069.pdf,,
securacath-for-securing-percutaneous-catheters-pdf-64371995311813.pdf,,
sedaconda-acds-for-sedation-with-volatile-anaesthetics-in-intensive-care-pdf-64372178389957.pdf,,
sem-scanner-200-for-preventing-pressure-ulcers-pdf-64372111205317.pdf,,
senza-spinal-cord-stimulation-system-for-delivering-hf10-therapy-to-treat-chronic-neuropathic-pain-pdf-64372050739141.pdf,,
sleepio-to-treat-insomnia-and-insomnia-symptoms-pdf-64372230458053.pdf,,
spectra-optia-for-automatic-red-blood-cell-exchange-in-people-with-sickle-cell-disease-pdf-64371941564101.pdf,,
synergo-for-nonmuscleinvasive-bladder-cancer-pdf-64372171671493.pdf,,
tegaderm-chg-securement-dressing-for-vascular-access-sites-in-critically-ill-adults-pdf-64371936525253.pdf,,
the-debrisoft-monofilament-debridement-pad-for-use-in-acute-or-chronic-wounds-pdf-64371879418309.pdf,,
the-geko-device-for-reducing-the-risk-of-venous-thromboembolism-pdf-64371882777541.pdf,,
the-mist-therapy-system-for-the-promotion-of-wound-healing-pdf-1788114109381.pdf,,
the-plasma-system-for-transurethral-resection-and-haemostasis-of-the-prostate-pdf-64372114564549.pdf,,
the-recell-sprayon-skin-system-for-treating-skin-loss-scarring-and-depigmentation-after-burn-injury-pdf-64371929806789.pdf,,
the-sherlock3cg-tip-confirmation-system-for-placement-of-peripherally-inserted-central-catheters-pdf-64371934845637.pdf,,
the-vac-veraflo-therapy-system-for-acute-infected-or-chronic-wounds-that-are-failing-to-heal-pdf-64372116244165.pdf,,
thopaz-portable-digital-system-for-managing-chest-drains-pdf-64372000350661.pdf,,
urgostart-for-treating-diabetic-foot-ulcers-and-leg-ulcers-pdf-64372052418757.pdf,,
urolift-for-treating-lower-urinary-tract-symptoms-of-benign-prostatic-hyperplasia-pdf-64372122962629.pdf,,
uroshield-for-preventing-catheterassociated-urinary-tract-infections-pdf-64372185108421.pdf,,
vibratip-for-testing-vibration-perception-to-detect-diabetic-peripheral-neuropathy-pdf-64371931486405.pdf,,
virtual-touch-quantification-to-diagnose-and-monitor-liver-fibrosis-in-chronic-hepatitis-b-and-c-pdf-64371939884485.pdf,,
xpress-multi-sinus-dilation-system-for-treating-chronic-sinusitis-pdf-64371988593349.pdf,,
zio-xt-for-detecting-cardiac-arrhythmias-pdf-64372112884933.pdf,,
title,,
3c-patch-for-treating-diabetic-foot-ulcers-pdf-64372180069573.pdf,,
alphastim-aid-for-anxiety-disorders-pdf-64372119603397.pdf,,
ambu-ascope4-broncho-for-use-in-unexpected-difficult-airways-pdf-64371874379461.pdf,,
ambulight-pdt-for-the-treatment-of-nonmelanoma-skin-cancer-pdf-1788115790293.pdf,,
aposhealth-for-knee-osteoarthritis-pdf-64372240535749.pdf,,
axonics-sacral-neuromodulation-system-for-treating-refractory-overactive-bladder-pdf-64372109525701.pdf,,
clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,,
curos-for-preventing-infections-when-using-needleless-connectors-pdf-64372055777989.pdf,,
danis-stent-for-acute-oesophageal-variceal-bleeding-pdf-64372121283013.pdf,,
dyevert-systems-for-reducing-the-risk-of-acute-kidney-injury-in-coronary-and-peripheral-angiography-pdf-64372169991877.pdf,,
endocuff-vision-for-assisting-visualisation-during-colonoscopy-pdf-64372057457605.pdf,,
endosponge-for-treating-low-rectal-anastomotic-leak-pdf-64372175030725.pdf,,
enduralife-powered-crtd-devices-for-treating-heart-failure-pdf-64371993632197.pdf,,
episcissors60-for-mediolateral-episiotomy-pdf-64372060816837.pdf,,
evita-open-plus-for-treating-complex-aneurysms-and-dissections-of-the-thoracic-aorta-pdf-64371877738693.pdf,,
exogen-ultrasound-bone-healing-system-for-long-bone-fractures-with-nonunion-or-delayed-healing-pdf-64371871020229.pdf,,
faecal-microbiota-transplant-for-recurrent-clostridioides-difficile-infection-pdf-64372232137669.pdf,,
gammacore-for-cluster-headache-pdf-64372059137221.pdf,,
greenlight-xps-for-treating-benign-prostatic-hyperplasia-pdf-64372237176517.pdf,,
heartflow-ffrct-for-estimating-fractional-flow-reserve-from-coronary-ct-angiography-pdf-64371991952581.pdf,,
humigard-for-preventing-inadvertent-perioperative-hypothermia-pdf-64371990272965.pdf,,
ifuse-for-treating-chronic-sacroiliac-joint-pain-pdf-64372003709893.pdf,,
kardiamobile-for-detecting-atrial-fibrillation-pdf-64372176710341.pdf,,
leukomed-sorbact-for-preventing-surgical-site-infection-pdf-64372117923781.pdf,,
magtrace-and-sentimag-system-for-locating-sentinel-lymph-nodes-for-breast-cancer-pdf-64372233817285.pdf,,
mega-soft-patient-return-electrode-for-use-during-monopolar-electrosurgery-pdf-64371869340613.pdf,,
memokath-051-ureter-stent-for-ureteric-obstruction-pdf-64372238856133.pdf,,
mepilex-border-heel-and-sacrum-dressings-for-preventing-pressure-ulcers-pdf-64372049059525.pdf,,
miraq-for-assessing-graft-flow-during-coronary-artery-bypass-graft-surgery-pdf-1788119148229.pdf,,
moorldi2bi-a-laser-doppler-blood-flow-imager-for-burn-wound-assessment-pdf-1788109070533.pdf,,
mycopd-for-managing-chronic-obstructive-pulmonary-disease-pdf-64372183428805.pdf,,
neuropad-for-detecting-preclinical-diabetic-peripheral-neuropathy-pdf-64372002030277.pdf,,
optilume-for-treating-recurrent-bulbar-urethral-strictures-pdf-64372235496901.pdf,,
parafricta-bootees-and-undergarments-to-reduce-skin-breakdown-in-people-with-or-at-risk-of-pressure-ulcers-pdf-64371928127173.pdf,,
peristeen-plus-transanal-irrigation-system-for-managing-bowel-dysfunction-pdf-64371998671045.pdf,,
peritx-peritoneal-catheter-drainage-system-for-vacuumassisted-drainage-of-treatmentresistant-recurrent-malignant-ascites-pdf-1788120827845.pdf,,
pico-negative-pressure-wound-dressings-for-closed-surgical-incisions-pdf-64372054098373.pdf,,
pipeline-flex-embolisation-device-with-shield-technology-for-the-treatment-of-complex-intracranial-aneurysms-pdf-64371867660997.pdf,,
plus-sutures-for-preventing-surgical-site-infection-pdf-64372124642245.pdf,,
pneux-to-prevent-ventilatorassociated-pneumonia-pdf-64372062496453.pdf,,
prontosan-for-treating-acute-and-chronic-wounds-pdf-64372181749189.pdf,,
rezum-for-treating-lower-urinary-tract-symptoms-secondary-to-benign-prostatic-hyperplasia-pdf-64372064176069.pdf,,
securacath-for-securing-percutaneous-catheters-pdf-64371995311813.pdf,,
sedaconda-acds-for-sedation-with-volatile-anaesthetics-in-intensive-care-pdf-64372178389957.pdf,,
sem-scanner-200-for-preventing-pressure-ulcers-pdf-64372111205317.pdf,,
senza-spinal-cord-stimulation-system-for-delivering-hf10-therapy-to-treat-chronic-neuropathic-pain-pdf-64372050739141.pdf,,
sleepio-to-treat-insomnia-and-insomnia-symptoms-pdf-64372230458053.pdf,,
spectra-optia-for-automatic-red-blood-cell-exchange-in-people-with-sickle-cell-disease-pdf-64371941564101.pdf,,
synergo-for-nonmuscleinvasive-bladder-cancer-pdf-64372171671493.pdf,,
tegaderm-chg-securement-dressing-for-vascular-access-sites-in-critically-ill-adults-pdf-64371936525253.pdf,,
the-debrisoft-monofilament-debridement-pad-for-use-in-acute-or-chronic-wounds-pdf-64371879418309.pdf,,
the-geko-device-for-reducing-the-risk-of-venous-thromboembolism-pdf-64371882777541.pdf,,
the-mist-therapy-system-for-the-promotion-of-wound-healing-pdf-1788114109381.pdf,,
the-plasma-system-for-transurethral-resection-and-haemostasis-of-the-prostate-pdf-64372114564549.pdf,,
the-recell-sprayon-skin-system-for-treating-skin-loss-scarring-and-depigmentation-after-burn-injury-pdf-64371929806789.pdf,,
the-sherlock3cg-tip-confirmation-system-for-placement-of-peripherally-inserted-central-catheters-pdf-64371934845637.pdf,,
the-vac-veraflo-therapy-system-for-acute-infected-or-chronic-wounds-that-are-failing-to-heal-pdf-64372116244165.pdf,,
thopaz-portable-digital-system-for-managing-chest-drains-pdf-64372000350661.pdf,,
urgostart-for-treating-diabetic-foot-ulcers-and-leg-ulcers-pdf-64372052418757.pdf,,
urolift-for-treating-lower-urinary-tract-symptoms-of-benign-prostatic-hyperplasia-pdf-64372122962629.pdf,,
uroshield-for-preventing-catheterassociated-urinary-tract-infections-pdf-64372185108421.pdf,,
vibratip-for-testing-vibration-perception-to-detect-diabetic-peripheral-neuropathy-pdf-64371931486405.pdf,,
virtual-touch-quantification-to-diagnose-and-monitor-liver-fibrosis-in-chronic-hepatitis-b-and-c-pdf-64371939884485.pdf,,
xpress-multi-sinus-dilation-system-for-treating-chronic-sinusitis-pdf-64371988593349.pdf,,
zio-xt-for-detecting-cardiac-arrhythmias-pdf-64372112884933.pdf,,
title,,
3c-patch-for-treating-diabetic-foot-ulcers-pdf-64372180069573.pdf,,
alphastim-aid-for-anxiety-disorders-pdf-64372119603397.pdf,,
ambu-ascope4-broncho-for-use-in-unexpected-difficult-airways-pdf-64371874379461.pdf,,
ambulight-pdt-for-the-treatment-of-nonmelanoma-skin-cancer-pdf-1788115790293.pdf,,
aposhealth-for-knee-osteoarthritis-pdf-64372240535749.pdf,,
axonics-sacral-neuromodulation-system-for-treating-refractory-overactive-bladder-pdf-64372109525701.pdf,,
clearguard-hd-antimicrobial-barrier-caps-for-preventing-haemodialysis-catheterrelated-bloodstream-infections-pdf-64372173351109.pdf,,
curos-for-preventing-infections-when-using-needleless-connectors-pdf-64372055777989.pdf,,
danis-stent-for-acute-oesophageal-variceal-bleeding-pdf-64372121283013.pdf,,
dyevert-systems-for-reducing-the-risk-of-acute-kidney-injury-in-coronary-and-peripheral-angiography-pdf-64372169991877.pdf,,
endocuff-vision-for-assisting-visualisation-during-colonoscopy-pdf-64372057457605.pdf,,
endosponge-for-treating-low-rectal-anastomotic-leak-pdf-64372175030725.pdf,,
enduralife-powered-crtd-devices-for-treating-heart-failure-pdf-64371993632197.pdf,,
episcissors60-for-mediolateral-episiotomy-pdf-64372060816837.pdf,,
evita-open-plus-for-treating-complex-aneurysms-and-dissections-of-the-thoracic-aorta-pdf-64371877738693.pdf,,
exogen-ultrasound-bone-healing-system-for-long-bone-fractures-with-nonunion-or-delayed-healing-pdf-64371871020229.pdf,,
faecal-microbiota-transplant-for-recurrent-clostridioides-difficile-infection-pdf-64372232137669.pdf,,
gammacore-for-cluster-headache-pdf-64372059137221.pdf,,
greenlight-xps-for-treating-benign-prostatic-hyperplasia-pdf-64372237176517.pdf,,
heartflow-ffrct-for-estimating-fractional-flow-reserve-from-coronary-ct-angiography-pdf-64371991952581.pdf,,
humigard-for-preventing-inadvertent-perioperative-hypothermia-pdf-64371990272965.pdf,,
ifuse-for-treating-chronic-sacroiliac-joint-pain-pdf-64372003709893.pdf,,
kardiamobile-for-detecting-atrial-fibrillation-pdf-64372176710341.pdf,,
leukomed-sorbact-for-preventing-surgical-site-infection-pdf-64372117923781.pdf,,
magtrace-and-sentimag-system-for-locating-sentinel-lymph-nodes-for-breast-cancer-pdf-64372233817285.pdf,,
mega-soft-patient-return-electrode-for-use-during-monopolar-electrosurgery-pdf-64371869340613.pdf,,
memokath-051-ureter-stent-for-ureteric-obstruction-pdf-64372238856133.pdf,,
mepilex-border-heel-and-sacrum-dressings-for-preventing-pressure-ulcers-pdf-64372049059525.pdf,,
miraq-for-assessing-graft-flow-during-coronary-artery-bypass-graft-surgery-pdf-1788119148229.pdf,,
moorldi2bi-a-laser-doppler-blood-flow-imager-for-burn-wound-assessment-pdf-1788109070533.pdf,,
mycopd-for-managing-chronic-obstructive-pulmonary-disease-pdf-64372183428805.pdf,,
neuropad-for-detecting-preclinical-diabetic-peripheral-neuropathy-pdf-64372002030277.pdf,,
optilume-for-treating-recurrent-bulbar-urethral-strictures-pdf-64372235496901.pdf,,
parafricta-bootees-and-undergarments-to-reduce-skin-breakdown-in-people-with-or-at-risk-of-pressure-ulcers-pdf-64371928127173.pdf,,
peristeen-plus-transanal-irrigation-system-for-managing-bowel-dysfunction-pdf-64371998671045.pdf,,
peritx-peritoneal-catheter-drainage-system-for-vacuumassisted-drainage-of-treatmentresistant-recurrent-malignant-ascites-pdf-1788120827845.pdf,,
pico-negative-pressure-wound-dressings-for-closed-surgical-incisions-pdf-64372054098373.pdf,,
pipeline-flex-embolisation-device-with-shield-technology-for-the-treatment-of-complex-intracranial-aneurysms-pdf-64371867660997.pdf,,
plus-sutures-for-preventing-surgical-site-infection-pdf-64372124642245.pdf,,
pneux-to-prevent-ventilatorassociated-pneumonia-pdf-64372062496453.pdf,,
prontosan-for-treating-acute-and-chronic-wounds-pdf-64372181749189.pdf,,
rezum-for-treating-lower-urinary-tract-symptoms-secondary-to-benign-prostatic-hyperplasia-pdf-64372064176069.pdf,,
securacath-for-securing-percutaneous-catheters-pdf-64371995311813.pdf,,
sedaconda-acds-for-sedation-with-volatile-anaesthetics-in-intensive-care-pdf-64372178389957.pdf,,
sem-scanner-200-for-preventing-pressure-ulcers-pdf-64372111205317.pdf,,
senza-spinal-cord-stimulation-system-for-delivering-hf10-therapy-to-treat-chronic-neuropathic-pain-pdf-64372050739141.pdf,,
sleepio-to-treat-insomnia-and-insomnia-symptoms-pdf-64372230458053.pdf,,
spectra-optia-for-automatic-red-blood-cell-exchange-in-people-with-sickle-cell-disease-pdf-64371941564101.pdf,,
synergo-for-nonmuscleinvasive-bladder-cancer-pdf-64372171671493.pdf,,
