Index,Title,Recommendation,Company Engagement,Has Device,Number of Companies,Is Unique Company
IPG595,Total distal radioulnar joint replacement for symptomatic joint instability or arthritis , Current evidence on the safety and efficacy of total distal radioulnar joint replacement for symptomatic joint instability or arthritis is limited in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research ,A structured information request was sent to 1 company that manufactures a potentially relevant device for use in this procedure. NICE did not receive a completed submission. ,1,A structured information request was sent to 1 company that manufactures a potentially relevant device for use in this procedure.,1
IPG597,Processed nerve allografts to repair peripheral nerve discontinuities , Current evidence on the safety and efficacy of processed nerve allografts to repair peripheral nerve discontinuities is adequate to support the use of this procedure for digital nerves provided that standard arrangements are in place for clinical governance consent and audit ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG598,Hypoglossal nerve stimulation for moderate to severe obstructive sleep apnoea , Current evidence on the safety and efficacy of hypoglossal nerve stimulation for moderate to severe obstructive sleep apnoea is limited in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.   ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG599,Transvaginal mesh repair of anterior or posterior vaginal wall prolapse , Current evidence on the safety of transvaginal mesh repair of anterior or posterior vaginal wall prolapse shows there are serious but well-recognised safety concerns Evidence of long-term efficacy is inadequate in quality and quantity Therefore this procedure should only be used in the context of research ,A structured information request was sent to 10 companies who manufacture a potentially relevant device for use in this procedure. NICE received completed submissions from 4 companies. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 10 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG600,Endobronchial valve insertion to reduce lung volume in emphysema , Current evidence on the safety and efficacy of endobronchial valve insertion to reduce lung volume in emphysema is adequate in quantity and quality to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG601,Transcutaneous microwave ablation for severe primary axillary hyperhidrosis , Current evidence on the safety and efficacy of transcutaneous microwave ablation for severe primary axillary hyperhidrosis is inadequate in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture or distribute a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 2 companies who manufacture or distribute a potentially relevant device for use in this procedure.,0
IPG602,Artificial heart implantation as a bridge to transplantation for end-stage refractory biventricular heart failure , Current evidence on the safety and efficacy of total artificial heart implantation as a bridge to transplantation for end-stage refractory biventricular heart failure is limited in quality and quantity Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure. NICE did not receive any submissions.  ,1,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG603,Subcutaneous implantable cardioverter defibrillator insertion for preventing sudden cardiac death , Current evidence on the safety and efficacy of subcutaneous implantable cardioverter defibrillator insertion for preventing sudden cardiac death is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG604,Aortic valve reconstruction with processed bovine pericardium , Current evidence on the safety and efficacy of aortic valve reconstruction with processed bovine pericardium is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG606,Unilateral MRI-guided focused ultrasound thalamotomy for moderate to severe tremor in Parkinson’s disease , Current evidence on the safety and efficacy of unilateral MRI-guided focused ultrasound thalamotomy for moderate to severe tremor in Parkinsons disease is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG607,Mosaicplasty for symptomatic articular cartilage defects of the knee , Current evidence on the safety and efficacy of mosaicplasty for knee cartilage defects is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. IP 283/2  ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG608,Laparoscopic mesh pectopexy for apical prolapse of the uterus or vagina , Current evidence on the safety and efficacy of laparoscopic mesh pectopexy for apical prolapse of the uterus or vagina is insufficient in quality and quantity Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG609,Robot-assisted kidney transplant , Current evidence on the safety and efficacy of robot-assisted kidney transplant is limited in quantity and quality For patients with obesity who would not otherwise be able to have a kidney transplant without an unacceptable risk of morbidity this procedure should only be used with special arrangements for clinical governance consent and audit or research In patients for whom open kidney transplant surgery is suitable this procedure should only be used in the context of research Find out what special arrangements and only in research mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
IPG610,Nerve transfer to partially restore upper limb function in tetraplegia , The evidence on efficacy of nerve transfer to partially restore upper limb function in tetraplegia is limited in quantity There are no major safety concerns Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page , No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.  ,1, No structured information requests were sent to companies who manufacture a potentially relevant device for use in this procedure.,0
IPG612,Microinvasive subconjunctival insertion of a trans-scleral gelatin stent for primary open-angle glaucoma , Evidence on the safety and efficacy of microinvasive subconjunctival insertion of a trans-scleral gelatin stent for primary open-angle glaucoma is limited in quantity and quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG614,Endoscopic bipolar radiofrequency ablation for treating biliary obstruction caused by cancer , Current evidence on endoscopic bipolar radiofrequency ablation for treating biliary obstruction caused by cancer shows there are serious but well recognised safety concerns Evidence on efficacy is limited in quality and quantity Therefore this procedure should only be used in the context of research which should include randomised controlled trials Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG615,Low-level laser therapy for preventing or treating oral mucositis caused by radiotherapy or chemotherapy , Current evidence on the safety of low-level laser therapy for oral mucositis shows no major safety concerns Evidence on efficacy is adequate in quality and quantity Therefore this procedure can be used provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  Oral mucositis OM is a common side effect of chemotherapy or radiotherapy used for treating head and neck cancer or before bone marrow transplantation Symptoms usually start  to  days after chemotherapy or  days after radiotherapy and include dryness halitosis pain inflammation and oral mucosa ulceration Chemotherapy-associated OM can resolve within a few days after completion of chemotherapy but radiotherapy-associated OM can last for weeks OM can affect nutritional status which may need enteral or parental nutrition and quality of life and can increase hospital stay It can also require interruptions or dose reductions in chemotherapy or radiotherapy treatment Current treatments  Comprehensive oral hygiene good hydration a bland soft diet and avoiding alcohol and tobacco may increase the persons comfort Ice water-based moisturisers painkillers and non-steroidal anti-inflammatory drugs can help reduce symptoms Drugs such as palifermin are sometimes used to prevent or treat OM Antibiotics may be needed to treat infectious complications The procedure  Low-level laser therapy aims to treat or prevent OM by promoting healing reducing inflammation and increasing cell metabolism A hand-held probe is used to deliver light in the red or near-infrared spectrum to the oral mucosa It can be delivered intra-orally or extra-orally or as a combination of both approaches During intra-oral treatment the probe which is about the size of a dental curing light is introduced into the mouth For extra-oral treatment the probe is positioned close to the Low-level laser therapy for preventing or treating oral mucositis caused by radiotherapy orchemotherapy IPGcheek The procedure typically takes  to  minutes and is delivered  to  times a week for the duration of the oncology treatment The procedure may be started before treatment with chemotherapy or radiotherapy begins with the intention of preventing OM  Committee considerations The evidence  To inform the committee NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a comprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  systematic reviews and meta-analysis and  randomised controlled trials  of which also reported outcomes from a prospective case series and  non-randomised comparative study These are presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be improved quality of life reduction in oral mucositis reduction in pain and the need for analgesia reduction in dysphagia and the need for feeding tubes improved nutrition and reduction in chemotherapy treatment breaks  Four commentaries from patients who had experience of this procedure were received which were discussed by the committee Committee comments  The procedure can be used in children but most of the evidence reviewed by the committee was from adults  Most of the evidence reviewed by the committee was for treatment delivered intra-orally and related to prophylactic use of this procedure Low-level laser therapy for preventing or treating oral mucositis caused by radiotherapy orchemotherapy IPG The greatest benefit from the procedure appears to be in patients having radiotherapy for head and neck cancers or having chemotherapy for haematological malignancies ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Accreditation Low-level laser therapy for preventing or treating oral mucositis caused by radiotherapy orchemotherapy IPG,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.  ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG616,Intranasal phototherapy for allergic rhinitis , Current evidence on the efficacy and safety of intranasal phototherapy for allergic rhinitis is limited in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG617,Unilateral MRI-guided focused ultrasound thalamotomy for treatment-resistant essential tremor , The evidence on the safety of unilateral MRI-guided focused ultrasound thalamotomy for treatment-resistant essential tremor raises no major safety concerns However current evidence on its efficacy is limited in quantity Therefore this procedure should not be used unless there are special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG618,Laparoscopic ventral mesh rectopexy for internal rectal prolapse , Current evidence on the safety of laparoscopic ventral mesh rectopexy for internal rectal prolapse shows there are well-recognised serious but infrequent complications The evidence on efficacy and safety is limited in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG620,Transaxial interbody lumbosacral fusion for severe chronic low back pain , Evidence on the safety of transaxial interbody lumbosacral fusion for severe chronic low back pain shows that there are serious but well-recognised complications Evidence on efficacy is adequate in quality and quantity Therefore this procedure may be used provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture or supply a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture or supply a potentially relevant device for use in this procedure.,0
IPG621,Low-intensity pulsed ultrasound to promote healing of fresh fractures at low risk of non-healing , The evidence for low-intensity pulsed ultrasound to promote healing of fresh fractures at low risk of non-healing raises no major safety concerns However current evidence does not show efficacy Therefore this procedure should not be used for this indication Find out why NICE recommends not to use some procedures on the NICE interventional procedures guidance page  The condition current treatments and procedure The condition  Fractures are a common result of trauma and are usually described as either closed skin over the fracture site is intact or open involves an open wound They may vary in complexity from a single break transverse or oblique to comminuted in which the bone has broken into several pieces Current treatments  Fractures usually heal within a few weeks after treatment by closed or open reduction and immobilisation using a cast or internal fixation Sometimes healing may be delayed or not happen at all non-union There is no agreed precise definition of a fracture non-union but typically it is considered to be when bony union has failed  to  months after the fracture Risk factors for non-union of fractures include systemic medical conditions for example diabetes malnutrition osteoporosis smoking use of non-steroidal anti-inflammatory drugs local factors such as infection vascular problems magnitude of injury for example fracture location and gap traumatic fractures advanced age and other iatrogenic factors Treatment of non-union may need complex and prolonged management with implications for the patients quality of life and functional capacity The procedure  The aim of low-intensity pulsed ultrasound is to reduce fracture healing time and avoid non-union by delivering micro-mechanical stress to the bone to stimulate bone healing  An ultrasound probe is positioned on the skin over the fracture and patients self-administer low-intensity pulsed ultrasound daily usually for  minutes If a patients limb is immobilised in a cast a hole is cut into the cast for the ultrasound probe The probe delivers acoustic radiation Low-intensity pulsed ultrasound to promote healing of fresh fractures at low risk of non-healing IPGand coupling gel is used on the skin to aid conduction of the ultrasound signal An operating frequency of  MHz pulse width of  microseconds repetition rate of  kHz and a temporal average power of  milliwattscm is typically used The exact treatment protocol and duration of treatment may vary  Progress towards fracture healing is usually assessed radiographically Treatment duration ranges from a few weeks to several months  Committee considerations The evidence  To inform the committee NICE did a rapid review of the published literature on the efficacy and safety of this procedure This comprised a comprehensive literature search and detailed review of the evidence from  sources which was discussed by the committee The evidence included  systematic reviews  randomised controlled trial and  cohort study and is presented in table  of the interventional procedures overview Other relevant literature is in the appendix of the overview  The specialist advisers and the committee considered the key efficacy outcomes to be fracture healing or union functional outcomes and quality of life  The specialist advisers and the committee considered the key safety outcome to be need for subsequent reoperation  Three commentaries from patients who had experience of this procedure were received which were discussed by the committee ISBN ---- Endorsing organisation This guidance has been endorsed by Healthcare Improvement Scotland Low-intensity pulsed ultrasound to promote healing of fresh fractures at low risk of non-healing IPGAccreditation Low-intensity pulsed ultrasound to promote healing of fresh fractures at low risk of non-healing IPG,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG622,Low-intensity pulsed ultrasound to promote healing of fresh fractures at high risk of non-healing , The evidence for low-intensity pulsed ultrasound to promote healing of fresh fractures at high risk of non-healing raises no major safety concerns The current evidence on efficacy is very limited in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG623,Low-intensity pulsed ultrasound to promote healing of delayed-union and non-union fractures , The evidence for low-intensity pulsed ultrasound to promote healing of delayed-union and non-union fractures raises no major safety concerns The current evidence on efficacy is inadequate in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG624,Sutureless aortic valve replacement for aortic stenosis , Current evidence on the safety and efficacy of sutureless aortic valve replacement for aortic stenosis is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 4 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG625,Transurethral water vapour ablation for lower urinary tract symptoms caused by benign prostatic hyperplasia , Current evidence on the safety and efficacy of transurethral water vapour ablation for urinary tract symptoms caused by benign prostatic hyperplasia is adequate to support the use of this procedure provided that standard arrangements are in place for clinical governance consent and audit Find out what standard arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG626,Leadless cardiac pacemaker implantation for bradyarrhythmias , Evidence on the safety of leadless cardiac pacemaker implantation for bradyarrhythmias shows that there are serious but well-recognised complications The evidence on efficacy is inadequate in quantity and quality  For people who can have conventional cardiac pacemaker implantation leadless pacemakers should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page  For people in whom a conventional cardiac pacemaker implantation is contraindicated following a careful risk assessment by a multidisciplinary team leadless cardiac pacemakers should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure. NICE received 2 completed submissions. These was considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 2 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG628,Intravesical microwave hyperthermia and chemotherapy for non-muscle-invasive bladder cancer , The evidence on the safety of intravesical microwave hyperthermia and chemotherapy for non-muscle-invasive bladder cancer shows there are well-recognised adverse events Current evidence on its efficacy is limited in quality Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,"A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure. NICE received 1 completed submission. This was considered by the IP team and any relevant points have been taken into consideration when preparing this overview.   The company submitted an ‘academic in confidence’ paper, which was reviewed by the committee for safety events. IP 395/2 bladder cancer  Notice of rights.  ",1,A structured information request was sent to 1 company who manufacture a potentially relevant device for use in this procedure.,1
IPG630,Selective internal radiation therapy for unresectable primary intrahepatic cholangiocarcinoma , Current evidence on the safety of selective internal radiation therapy SIRT for unresectable primary intrahepatic cholangiocarcinoma shows that there are well-recognised serious but rare safety concerns Evidence on its efficacy is inadequate in quantity and quality Therefore this procedure should only be used in the context of research Find out what only in research means on the NICE interventional procedures guidance page ,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure. NICE received 3 completed submissions. These were considered by the IP team and any relevant points have been taken into consideration when preparing this overview. ,1,A structured information request was sent to 3 companies who manufacture a potentially relevant device for use in this procedure.,0
IPG631,Subcutaneous automated low-flow pump implantation for refractory ascites caused by cirrhosis , Current evidence on the safety of subcutaneous automated low-flow pump implantation for refractory ascites shows there are serious but well-recognised safety concerns including device failure and acute kidney injury Evidence on efficacy is limited in quantity Therefore this procedure should only be used with special arrangements for clinical governance consent and audit or research Find out what special arrangements mean on the NICE interventional procedures guidance page ,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure. NICE received 1 completed submission.  ,1,A structured information request was sent to 1 company who manufactures a potentially relevant device for use in this procedure.,1
